E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,Exercise,Student,NbLines,NbVars,NbParams,HasLoop,HasForLoop,HasWhileLoop,HasIf,HasIfElse,HasIfElif,HasIfElifElse,InstDepth,HasNestedLoops,HasNestedIfs,HasIfInLoop,HasLoopInIf,NbReturns,HasPrint,HasComment,HasImport,NbTokens,PassedTestCases
2.078589,-0.3099324,-0.7140753,0.56530815,0.7564522,-0.06587227,0.21055426,-0.018857678,-1.9633981,0.9491815,-1.0348357,0.5554362,1.5650988,0.86676997,0.08449065,1.0394034,-1.3826163,-1.0787383,-0.54462475,-0.76830506,4c3cff428b26be2b1464a3c9ee78c7cf,userdId_23,10,2,6,True,True,False,True,False,False,False,3,False,False,True,False,1,False,False,False,97,False
-1.1701285,0.77805376,0.088660814,-0.27453765,1.302275,-0.08807394,0.20486598,0.19392066,1.4196128,0.07033657,0.20644522,0.22087422,-0.510031,-0.71988624,0.6545206,-0.13923,-0.32480362,-1.4968785,0.71932435,-0.5218291,8c67b76032d571a8d7eca8796ed11752,userdId_11,11,2,1,True,False,True,True,False,False,False,4,False,False,True,False,1,False,False,False,75,False
-0.059972294,0.55551976,0.98416054,0.49209654,-0.277625,-0.211611,-0.46977255,0.01757508,2.1343868,0.70521384,-0.07195031,-0.8922687,0.24518365,0.18788639,-0.032571755,-0.3264366,-0.30884534,-0.124637514,0.68334526,0.39108434,8c67b76032d571a8d7eca8796ed11752,userdId_48,6,2,1,True,True,False,True,False,False,False,3,False,False,True,False,1,False,False,False,42,False
-0.0075957347,-1.4845972,-0.2827816,1.4365844,0.0155016305,-0.834699,0.44080597,-0.6732362,0.4290872,0.52371573,0.5908029,0.4586075,-0.5163736,1.1506234,-1.4293879,-1.033514,-1.0121546,-1.3324312,1.4625427,0.38072956,709a3600dc12d686d1c8f691a0af1e19,userdId_9,17,1,1,False,False,False,True,True,True,True,3,False,False,False,False,1,False,False,False,92,False
-0.3856125,0.63084346,0.43569422,-0.20977432,1.1142325,-0.6300246,0.05869753,-0.2873493,1.8288709,-0.3021968,-0.2501479,-1.2631248,-0.46273,-0.105959855,0.06413097,-0.55825543,0.08463421,-0.78556824,1.7538756,0.1868185,8c67b76032d571a8d7eca8796ed11752,userdId_28,8,2,1,True,False,True,True,False,False,False,3,False,False,True,False,1,False,False,False,52,False
-0.15170996,-1.5340052,0.080044635,1.004695,-0.20626149,-1.3632993,-0.16010664,-1.2627372,-0.5340045,0.91042334,-0.33569083,-0.9587545,-0.4453217,1.4169693,-0.8841957,-0.9391081,0.006217261,-1.2938583,1.7415283,0.7151855,709a3600dc12d686d1c8f691a0af1e19,userdId_8,18,1,1,False,False,False,True,True,True,True,3,False,False,False,False,1,False,True,False,89,False
0.28667665,1.4394737,0.16892996,-0.39066583,0.4105056,0.32577175,0.5874704,0.5328898,0.34223974,0.108055666,-1.0530558,-0.8969498,-0.16890562,-0.9683256,-0.4458709,0.2114936,-0.5757725,-0.69068646,1.7577852,0.05851002,8c67b76032d571a8d7eca8796ed11752,userdId_48,6,2,1,True,True,False,True,False,False,False,3,False,False,True,False,1,False,False,False,36,False
-0.89060324,-0.59782016,0.018832419,-0.16903466,-1.1563824,-0.50433034,-1.2130139,-0.23814638,1.8075156,-0.49853447,0.6235041,-0.6705112,0.11152625,0.16908121,0.26238778,0.2489524,-0.8512753,-0.7183837,1.0032837,0.8204676,392e69c90b63b832ef1b1489027c9c7f,userdId_18,17,2,2,True,False,True,True,True,True,True,3,False,True,True,False,1,False,False,False,124,True
1.345248,-0.36538434,1.1108288,1.8242948,0.62695503,0.5253047,1.5431905,-1.1945064,1.830421,0.33913812,0.65021944,0.579633,-0.21824881,-0.30871925,-1.2436894,-0.79858416,-0.60827124,0.02198075,1.2762922,2.5862298,709a3600dc12d686d1c8f691a0af1e19,userdId_13,23,1,1,False,False,False,True,False,False,False,3,False,True,False,False,1,False,False,False,137,False
0.6787652,0.7737575,-0.3746406,-0.57906187,0.614381,-1.107116,-0.28111273,-0.040197756,1.3109488,0.82056713,1.0658355,2.0377507,-1.093784,-0.050078508,-1.0660603,-1.4625149,-0.8262336,-0.7523932,-0.686631,1.3002694,709a3600dc12d686d1c8f691a0af1e19,userdId_2,21,3,1,False,False,False,True,True,True,True,3,False,False,False,False,0,False,False,False,135,False
